Year,Date.Sampled,Plot.Type,Plot,Regen.Plot,Species,Category,Count,Height.Class,Cover.%,DBH.cm,,,,,,,,,,,,,
2018,5/29/2018,Hemlock,1,UR,Eastern hemlock,Sapling,1,NA,NA,2.9,,,,,,,,,,,,,
2018,5/29/2018,Hemlock,1,UL,Eastern hemlock,Sapling,1,NA,NA,3.1,,,,,,,,,,,,,
2018,5/29/2018,Hemlock,1,BC,NA,Sapling,0,NA,NA,NA,,,,,,,,,,,,,
2022,6/2/2022,Hemlock,1,BC,Eastern hemlock,Sapling,1,NA,NA,2.4,,,,,,,,,,,,,
2022,6/2/2022,Hemlock,1,UR,Eastern hemlock,Sapling,1,NA,NA,2.5,,,,,,,,,,,,,
2022,6/2/2022,Hemlock,1,UL,NA,Sapling,0,NA,NA,NA,,,,,,,,,,,,,
2018,5/29/2018,Hemlock,1,UR,Red maple,Seedling,2,15-30,NA,NA,,,,,,,,,,,,,
2018,5/29/2018,Hemlock,1,UR,White pine,Seedling,6,15-30,NA,NA,,,,,,,,,,,,,
2018,5/29/2018,Hemlock,1,UR,White ash,Seedling,25,15-30,NA,NA,,,,,,,,,,,,,
2018,5/29/2018,Hemlock,1,UR,Pignut hickory,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2018,5/29/2018,Hemlock,1,UR,Chestnut oak,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2018,5/29/2018,Hemlock,1,UL,White pine,Seedling,2,15-30,NA,NA,,,,,,,,,,,,,
2018,5/29/2018,Hemlock,1,UL,White ash,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2018,5/29/2018,Hemlock,1,UL,Chestnut oak,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2018,5/29/2018,Hemlock,1,BC,White pine,Seedling,15,15-30,NA,NA,,,,,,,,,,,,,
2018,5/29/2018,Hemlock,1,BC,Chestnut oak,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2018,5/29/2018,Hemlock,1,UR,White pine,Seedling,2,30-100,NA,NA,,,,,,,,,,,,,
2018,5/29/2018,Hemlock,1,BC,White pine,Seedling,2,30-100,NA,NA,,,,,,,,,,,,,
2022,6/2/2022,Hemlock,1,BC,White pine,Seedling,1,100-150,NA,NA,,,,,,,,,,,,,
2022,6/2/2022,Hemlock,1,UL,White pine,Seedling,2,100-150,NA,NA,,,,,,,,,,,,,
2022,6/2/2022,Hemlock,1,BC,White ash,Seedling,39,15-30,NA,NA,,,,,,,,,,,,,
2022,6/2/2022,Hemlock,1,BC,White pine,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2022,6/2/2022,Hemlock,1,BC,Red maple,Seedling,4,15-30,NA,NA,,,,,,,,,,,,,
2022,6/2/2022,Hemlock,1,BC,Birch sp.,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2022,6/2/2022,Hemlock,1,BC,Black gum,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2022,6/2/2022,Hemlock,1,BC,Chestnut oak,Seedling,2,15-30,NA,NA,,,,,,,,,,,,,
2022,6/2/2022,Hemlock,1,UR,White ash,Seedling,19,15-30,NA,NA,,,,,,,,,,,,,
2022,6/2/2022,Hemlock,1,UR,Black gum,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2022,6/2/2022,Hemlock,1,UR,White pine,Seedling,3,15-30,NA,NA,,,,,,,,,,,,,
2022,6/2/2022,Hemlock,1,UL,White pine,Seedling,5,15-30,NA,NA,,,,,,,,,,,,,
2022,6/2/2022,Hemlock,1,UL,Chestnut oak,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2022,6/2/2022,Hemlock,1,UL,White oak,Seedling,5,15-30,NA,NA,,,,,,,,,,,,,
2022,6/2/2022,Hemlock,1,BC,White pine,Seedling,11,30-100,NA,NA,,,,,,,,,,,,,
2022,6/2/2022,Hemlock,1,UR,White pine,Seedling,2,30-100,NA,NA,,,,,,,,,,,,,
2022,6/2/2022,Hemlock,1,UL,White pine,Seedling,20,30-100,NA,NA,,,,,,,,,,,,,
2018,5/29/2018,Hemlock,1,UR,NA,Shrub,0,NA,NA,NA,,,,,,,,,,,,,
2018,5/29/2018,Hemlock,1,UL,NA,Shrub,0,NA,NA,NA,,,,,,,,,,,,,
2018,5/29/2018,Hemlock,1,BC,NA,Shrub,0,NA,NA,NA,,,,,,,,,,,,,
2022,6/2/2022,Hemlock,1,BC,NA,Shrub,0,NA,NA,NA,,,,,,,,,,,,,
2022,6/2/2022,Hemlock,1,UL,NA,Shrub,0,NA,NA,NA,,,,,,,,,,,,,
2022,6/2/2022,Hemlock,1,UR,NA,Shrub,0,NA,NA,NA,,,,,,,,,,,,,
2018,6/6/2018,Hemlock,2,UR,Eastern hemlock,Sapling,1,NA,NA,6.1,,,,,,,,,,,,,
2018,6/6/2018,Hemlock,2,UR,Snag,Sapling,1,NA,NA,7.3,,,,,,,,,,,,,
2018,6/6/2018,Hemlock,2,UL,NA,Sapling,0,NA,NA,NA,,,,,,,,,,,,,
2018,6/6/2018,Hemlock,2,BC,Red maple,Sapling,1,NA,NA,5.7,,,,,,,,,,,,,
2018,6/6/2018,Hemlock,2,BC,Eastern hemlock,Sapling,1,NA,NA,3.8,,,,,,,,,,,,,
2018,6/6/2018,Hemlock,2,BC,Eastern hemlock,Sapling,1,NA,NA,2.5,,,,,,,,,,,,,
2018,6/6/2018,Hemlock,2,BC,Eastern hemlock,Sapling,1,NA,NA,7.2,,,,,,,,,,,,,
2018,6/6/2018,Hemlock,2,BC,Red maple,Sapling,1,NA,NA,5.9,,,,,,,,,,,,,
2022,6/8/2022,Hemlock,2,UL,NA,Sapling,0,NA,NA,NA,,,,,,,,,,,,,
2022,6/8/2022,Hemlock,2,UR,Eastern hemlock,Sapling,1,NA,NA,5.6,,,,,,,,,,,,,
2022,6/8/2022,Hemlock,2,BC,Red maple,Sapling,1,NA,NA,6.4,,,,,,,,,,,,,
2022,6/8/2022,Hemlock,2,BC,Eastern hemlock,Sapling,1,NA,NA,4.2,,,,,,,,,,,,,
2022,6/8/2022,Hemlock,2,BC,Snag,Sapling,1,NA,NA,5.3,,,,,,,,,,,,,
2022,6/8/2022,Hemlock,2,BC,Eastern hemlock,Sapling,1,NA,NA,2.5,,,,,,,,,,,,,
2018,6/6/2018,Hemlock,2,UL,Chestnut oak,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2018,6/6/2018,Hemlock,2,UR,NA,Seedling,0,NA,NA,NA,,,,,,,,,,,,,
2018,6/6/2018,Hemlock,2,BC,NA,Seedling,0,NA,NA,NA,,,,,,,,,,,,,
2022,6/8/2022,Hemlock,2,BC,Red oak,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2022,6/8/2022,Hemlock,2,BC,Red maple,Seedling,3,15-30,NA,NA,,,,,,,,,,,,,
2022,6/8/2022,Hemlock,2,UL,NA,Seedling,0,NA,NA,NA,,,,,,,,,,,,,
2022,6/8/2022,Hemlock,2,UR,NA,Seedling,0,NA,NA,NA,,,,,,,,,,,,,
2018,6/6/2018,Hemlock,2,UR,NA,Shrub,0,NA,NA,NA,,,,,,,,,,,,,
2018,6/6/2018,Hemlock,2,UL,NA,Shrub,0,NA,NA,NA,,,,,,,,,,,,,
2018,6/6/2018,Hemlock,2,BC,NA,Shrub,0,NA,NA,NA,,,,,,,,,,,,,
2022,6/8/2022,Hemlock,2,UL,NA,Shrub,0,NA,NA,NA,,,,,,,,,,,,,
2022,6/8/2022,Hemlock,2,UR,NA,Shrub,0,NA,NA,NA,,,,,,,,,,,,,
2022,6/8/2022,Hemlock,2,BC,NA,Shrub,0,NA,NA,NA,,,,,,,,,,,,,
2018,6/8/2018,Hemlock,3,UR,NA,Sapling,0,NA,NA,NA,,,,,,,,,,,,,
2018,6/8/2018,Hemlock,3,UL,NA,Sapling,0,NA,NA,NA,,,,,,,,,,,,,
2018,6/8/2018,Hemlock,3,BC,Red maple,Sapling,1,NA,NA,5.9,,,,,,,,,,,,,
2022,6/10/2022,Hemlock,3,BC,NA,Sapling,0,NA,NA,NA,,,,,,,,,,,,,
2022,6/10/2022,Hemlock,3,UR,NA,Sapling,0,NA,NA,NA,,,,,,,,,,,,,
2022,6/10/2022,Hemlock,3,UL,NA,Sapling,0,NA,NA,NA,,,,,,,,,,,,,
2018,6/8/2018,Hemlock,3,UR,White oak,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2018,6/8/2018,Hemlock,3,UR,Black birch,Seedling,3,15-30,NA,NA,,,,,,,,,,,,,
2018,6/8/2018,Hemlock,3,UR,Red oak,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2018,6/8/2018,Hemlock,3,UL,Red oak,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2018,6/8/2018,Hemlock,3,UL,White oak,Seedling,2,15-30,NA,NA,,,,,,,,,,,,,
2018,6/8/2018,Hemlock,3,UL,White pine,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2018,6/8/2018,Hemlock,3,BC,White oak,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2022,6/10/2022,Hemlock,3,BC,White pine,Seedling,4,15-30,NA,NA,,,,,,,,,,,,,
2022,6/10/2022,Hemlock,3,UR,White pine,Seedling,2,15-30,NA,NA,,,,,,,,,,,,,
2022,6/10/2022,Hemlock,3,UR,Black gum,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2022,6/10/2022,Hemlock,3,UR,Black birch,Seedling,2,15-30,NA,NA,,,,,,,,,,,,,
2022,6/10/2022,Hemlock,3,UR,White oak,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2022,6/10/2022,Hemlock,3,UL,Black oak,Seedling,2,15-30,NA,NA,,,,,,,,,,,,,
2022,6/10/2022,Hemlock,3,UL,White pine,Seedling,3,15-30,NA,NA,,,,,,,,,,,,,
2022,6/10/2022,Hemlock,3,UL,White oak,Seedling,4,15-30,NA,NA,,,,,,,,,,,,,
2022,6/10/2022,Hemlock,3,UL,Red maple,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2022,6/10/2022,Hemlock,3,UR,Black birch,Seedling,1,30-100,NA,NA,,,,,,,,,,,,,
2018,6/8/2018,Hemlock,3,UR,NA,Shrub,0,NA,NA,NA,,,,,,,,,,,,,
2018,6/8/2018,Hemlock,3,UL,NA,Shrub,0,NA,NA,NA,,,,,,,,,,,,,
2018,6/8/2018,Hemlock,3,BC,NA,Shrub,0,NA,NA,NA,,,,,,,,,,,,,
2022,6/10/2022,Hemlock,3,BC,NA,Shrub,0,NA,NA,NA,,,,,,,,,,,,,
2022,6/10/2022,Hemlock,3,UR,NA,Shrub,0,NA,NA,NA,,,,,,,,,,,,,
2022,6/10/2022,Hemlock,3,UL,NA,Shrub,0,NA,NA,NA,,,,,,,,,,,,,
2018,6/11/2018,Ash,4,UR,NA,Sapling,0,NA,NA,NA,,,,,,,,,,,,,
2018,6/11/2018,Ash,4,UL,NA,Sapling,0,NA,NA,NA,,,,,,,,,,,,,
2018,6/11/2018,Ash,4,BC,NA,Sapling,0,NA,NA,NA,,,,,,,,,,,,,
2022,6/16/2022,Ash,4,UR,NA,Sapling,0,NA,NA,NA,,,,,,,,,,,,,
2022,6/16/2022,Ash,4,UL,NA,Sapling,0,NA,NA,NA,,,,,,,,,,,,,
2022,6/16/2022,Ash,4,BC,NA,Sapling,0,NA,NA,NA,,,,,,,,,,,,,
2018,6/11/2018,Ash,4,UR,White ash,Seedling,2,15-30,NA,NA,,,,,,,,,,,,,
2018,6/11/2018,Ash,4,UR,Hop hornbeam,Seedling,6,15-30,NA,NA,,,,,,,,,,,,,
2018,6/11/2018,Ash,4,UR,Tulip poplar,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2018,6/11/2018,Ash,4,UR,Red oak,Seedling,3,15-30,NA,NA,,,,,,,,,,,,,
2018,6/11/2018,Ash,4,UL,White ash,Seedling,29,15-30,NA,NA,,,,,,,,,,,,,
2018,6/11/2018,Ash,4,UL,Hop hornbeam,Seedling,4,15-30,NA,NA,,,,,,,,,,,,,
2018,6/11/2018,Ash,4,UL,Red maple,Seedling,2,15-30,NA,NA,,,,,,,,,,,,,
2018,6/11/2018,Ash,4,UL,Tulip poplar,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2018,6/11/2018,Ash,4,UL,Yellow birch,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2018,6/11/2018,Ash,4,UL,White pine,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2018,6/11/2018,Ash,4,BC,Hickory sp.,Seedling,2,15-30,NA,NA,,,,,,,,,,,,,
2018,6/11/2018,Ash,4,BC,Red maple,Seedling,3,15-30,NA,NA,,,,,,,,,,,,,
2018,6/11/2018,Ash,4,BC,Red oak,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2018,6/11/2018,Ash,4,UR,Hop hornbeam,Seedling,3,30-100,NA,NA,,,,,,,,,,,,,
2018,6/11/2018,Ash,4,UL,White ash,Seedling,1,30-100,NA,NA,,,,,,,,,,,,,
2018,6/11/2018,Ash,4,BC,Hop hornbeam,Seedling,1,30-100,NA,NA,,,,,,,,,,,,,
2022,6/16/2022,Ash,4,UR,Red maple,Seedling,9,15-30,NA,NA,,,,,,,,,,,,,
2022,6/16/2022,Ash,4,UR,Hickory sp.,Seedling,4,15-30,NA,NA,,,,,,,,,,,,,
2022,6/16/2022,Ash,4,UR,White ash,Seedling,15,15-30,NA,NA,,,,,,,,,,,,,
2022,6/16/2022,Ash,4,UR,Yellow birch,Seedling,7,15-30,NA,NA,,,,,,,,,,,,,
2022,6/16/2022,Ash,4,UR,White oak,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2022,6/16/2022,Ash,4,UR,Red oak,Seedling,3,15-30,NA,NA,,,,,,,,,,,,,
2022,6/16/2022,Ash,4,UR,American basswood,Seedling,2,15-30,NA,NA,,,,,,,,,,,,,
2022,6/16/2022,Ash,4,UL,White ash,Seedling,16,15-30,NA,NA,,,,,,,,,,,,,
2022,6/16/2022,Ash,4,UL,Hickory sp.,Seedling,2,15-30,NA,NA,,,,,,,,,,,,,
2022,6/16/2022,Ash,4,UL,White pine,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2022,6/16/2022,Ash,4,BC,Hickory sp.,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2022,6/16/2022,Ash,4,BC,Red maple,Seedling,3,15-30,NA,NA,,,,,,,,,,,,,
2022,6/16/2022,Ash,4,BC,American hornbeam,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2022,6/16/2022,Ash,4,BC,White ash,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2022,6/16/2022,Ash,4,UR,Red maple,Seedling,1,30-100,NA,NA,,,,,,,,,,,,,
2022,6/16/2022,Ash,4,UR,Yellow birch,Seedling,20,30-100,NA,NA,,,,,,,,,,,,,
2022,6/16/2022,Ash,4,UL,White ash,Seedling,15,30-100,NA,NA,,,,,,,,,,,,,
2022,6/16/2022,Ash,4,UL,Hickory sp.,Seedling,2,30-100,NA,NA,,,,,,,,,,,,,
2022,6/16/2022,Ash,4,UL,Red oak,Seedling,1,30-100,NA,NA,,,,,,,,,,,,,
2022,6/16/2022,Ash,4,BC,Hickory sp.,Seedling,1,30-100,NA,NA,,,,,,,,,,,,,
2018,6/11/2018,Ash,4,UR,Multi-flora rose,Shrub,1,NA,1-5,NA,,,,,,,,,,,,,
2018,6/11/2018,Ash,4,UL,Spicebush,Shrub,8,NA,1-5,NA,,,,,,,,,,,,,
2018,6/11/2018,Ash,4,UL,Japanese barberry,Shrub,1,NA,1-5,NA,,,,,,,,,,,,,
2018,6/11/2018,Ash,4,UL,Virginia creeper,Shrub,4,NA,1-5,NA,,,,,,,,,,,,,
2018,6/11/2018,Ash,4,BC,Spicebush,Shrub,1,NA,1-5,NA,,,,,,,,,,,,,
2018,6/11/2018,Ash,4,BC,Virginia creeper,Shrub,1,NA,1-5,NA,,,,,,,,,,,,,
2018,6/11/2018,Ash,4,BC,Japanese barberry,Shrub,1,NA,1-5,NA,,,,,,,,,,,,,
2018,6/11/2018,Ash,4,BC,Multi-flora rose,Shrub,1,NA,1-5,NA,,,,,,,,,,,,,
2022,6/16/2022,White ash,4,UR,Rubus sp.,Shrub,3,NA,1-5,NA,,,,,,,,,,,,,
