Year,Date.Sampled,Plot.Type,Plot,Tree_#,Quarter,Fork,Species,DBH,Unusual,Status,Crown.Class,Tree.Cond,HWA.Index,EAB.Index,BBD.Index,Foliage.Cond_1,Total.Foliage%_1,Foliage.Cond%_1,Foliage.Cond_2,Total.Foliage%_2,Foliage.Cond%_2,Foliage.Cond_3,Total.Foliage%_3,Foliage.Cond%_3,Decay.Index,Notes
2018,5/29/2018,Hemlock,1,1,NA,N,Eastern hemlock,31.9,N,AS,Co-dominant,HWA/EHS,NA,NA,NA,Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/2/2022,Hemlock,1,1,NA,N,Eastern hemlock,31.8,N,AS,Intermediate,HWA/EHS,NA,NA,NA,Holes,90-100,1-10,NA,NA,NA,NA,NA,NA,NA,NA
2018,5/29/2018,Hemlock,1,2,NA,N,Pignut hickory,30.6,N,AS,Co-dominant,Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
2022,6/2/2022,Hemlock,1,2,NA,N,Pignut hickory,31.8,N,AS,Dominant,Healthy,NA,NA,NA,Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,5/29/2018,Hemlock,1,3,NA,N,Tulip poplar,24.3,N,AS,Co-dominant,Healthy,3,NA,NA,Leaf loss,10-50,90-100,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/2/2022,Hemlock,1,3,NA,N,Tulip poplar,26.2,N,AS,Co-dominant,Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
2018,5/29/2018,Hemlock,1,4,NA,N,Sugar maple,11.5,N,AS,Intermediate,Healthy,NA,NA,NA,Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/2/2022,Hemlock,1,4,NA,N,Sugar maple,12.5,N,AS,Intermediate,Healthy,NA,NA,NA,Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,5/29/2018,Hemlock,1,5,NA,N,Eastern hemlock,41.4,N,DS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
2022,6/2/2022,Hemlock,1,5,NA,N,Eastern hemlock,42.2,N,DS,NA,NA,NA,NA,NA,Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
